Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Singapore,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,Expenditures(USMillion),630,681,555,493,465,441,649,742,876,931,"1,282","1,655","2,352","3,096","2,541","2,334","2,515","2,365","2,702","2,642","2,480","2,812","3,024","3,318","3,350","1,340","1,179"
Slovenia,Expenditures(USMillion),"1,128","1,280","1,225","1,135","1,011","1,016","1,059","1,152","1,427","1,725","1,894","2,075","2,464","2,955","2,817","2,808","3,048","2,793","2,966","3,052","2,594","2,718","3,055","3,378","3,353","1,461","2,032"
Solomon Islands,Expenditures(USMillion),17,16,10,7,10,4,9,1,2,4,6,31,33,31,39,51,66,65,71,65,60,71,79,92,82,7,..
Somalia,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,Expenditures(USMillion),"2,654","3,137","3,422","3,419","3,407","3,338","3,256","3,695","6,674","7,571","8,629","9,211","10,226","9,178","8,684","10,309","10,706","11,202","10,468","10,484","9,140","8,807","9,706","9,789","9,064","2,716","2,113"
South Sudan,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,24,26,12,..,..,..
Spain,Expenditures(USMillion),"27,369","29,751","28,649","31,592",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,Expenditures(USMillion),367,282,351,369,414,388,347,594,709,808,729,733,750,803,754,"1,044","1,421","1,756","2,506","3,278","3,978","4,591","5,083","5,608","4,663","1,076",615
Sudan,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,Expenditures(USMillion),52,44,38,36,45,42,26,17,18,52,96,109,73,83,70,69,69,79,92,103,99,74,61,73,64,19,14
Sweden,Expenditures(USMillion),"4,390","4,534","4,025","4,997","4,943","4,825","5,200","5,671","6,548","7,686","7,628","9,714","11,889","11,732","9,769","10,674",..,..,..,..,..,..,..,..,..,..,..
Switzerland,Expenditures(USMillion),"11,354","10,779","10,036","10,188","9,135","9,058","9,392","9,198","10,427","11,217","11,914","12,961","14,934","18,016","17,023","17,883","20,809","19,567","20,239","21,355","20,138","19,784","20,398","21,296","21,378","11,111","12,125"
Syrian Arab Republic,Expenditures(USMillion),..,..,..,..,..,..,..,..,877,"1,883","2,035","2,113","2,972","3,176","3,781","6,308","1,816",..,..,..,..,..,..,..,..,..,..
"Taiwan, China",Expenditures(USMillion),"3,985","4,219","3,943","3,800","4,057","4,253","4,849","5,077","3,578","4,670","5,740","5,956","6,274","7,156","7,956","10,387","13,067","14,115","14,782","17,419","16,987","12,824","14,847","16,366","17,102","2,346",901
Tajikistan,Expenditures(USMillion),..,..,..,..,..,..,..,5.0,6.2,9.6,9.1,11.2,16.5,23.7,19.5,142,184,287,233,220,146,150,172,171,179,102,99
Tanzania,Expenditures(USMillion),..,..,343,404,467,381,626,639,654,762,835,986,"1,215","1,293","1,192","1,279","1,383","1,754","1,939","2,047","1,924","2,149","2,265","2,465","2,625",726,"1,324"
Thailand,Expenditures(USMillion),"9,257","10,367","9,052","7,954","9,416","9,935","9,378","10,388","10,456","13,054","12,103","16,624","20,625","22,510","19,811","23,796","30,924","34,565","41,765","38,451","44,851","48,459","57,057","61,383","64,371","14,573","5,276"
Timor-Leste,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,Expenditures(USMillion),..,..,..,15,10,11,14,16,26,25,27,23,38,44,73,105,209,206,233,233,212,223,245,269,264,151,..
Tonga,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,13,15,..,15,18,18,17,33,40,47,38,46,53,49,48,57,48,9
Trinidad and Tobago,Expenditures(USMillion),232,262,344,356,365,371,361,402,437,568,593,517,621,557,548,630,650,852,856,875,809,708,717,541,481,152,60
Tunisia,Expenditures(USMillion),"1,838","1,895","1,858","1,980","2,118","1,977","2,061","1,831","1,935","2,432","2,800","2,999","3,373","3,909","3,524","3,477","2,529","2,931","2,863","3,042","1,869","1,706","1,782","2,320","2,683","1,007","1,241"
Türkiye,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,"20,760","19,137","21,662","26,446","26,331","26,318","30,302","31,566","37,984","40,028","35,648","26,505","31,993","36,791","41,313","13,609","27,899"
Uganda,Expenditures(USMillion),..,..,..,..,..,..,187,194,185,268,382,347,402,536,683,802,977,"1,157",960,984,"1,049","1,118",954,"1,522","1,400",519,942
Ukraine,Expenditures(USMillion),..,448,477,539,503,563,759,"1,001","1,204","2,931","3,542","4,018","5,320","6,722","4,349","4,696","5,406","5,988","5,931","2,264","1,662","1,723","2,019","2,269","2,595",669,"1,387"
United Arab Emirates,Expenditures(USMillion),632,743,814,859,893,"1,063","1,200","1,332","1,438","1,593","3,218","4,972","6,072","7,162","7,352","8,577","9,204","10,924","12,389","15,221","25,587","28,657","29,706","34,610","38,413","24,615","34,440"
United Kingdom,Expenditures(USMillion),"27,577","29,181","30,483","31,658",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,Expenditures(USMillion),"93,743","102,196","107,047","105,095","109,188","118,316","105,454","97,415","94,814","107,210","116,682","121,030","134,800","149,094","137,111","161,821","178,935","195,113","213,105","222,746","230,574","228,549","233,758","241,984","239,065","84,300","82,974"
Uruguay,Expenditures(USMillion),725,890,862,..,..,827,700,409,419,591,699,711,928,"1,195","1,460","1,669","2,401","2,666","2,481","2,341","2,349","2,396","2,924","2,708","2,335","1,082",588
Uzbekistan,Expenditures(USMillion),..,15,198,167,102,63,72,68,48,57,..,..,..,..,..,..,..,..,..,660,688,579,835,"1,314","1,679",395,679
Vanuatu,Expenditures(USMillion),..,..,..,72,59,69,58,72,83,93,104,109,142,188,214,242,249,268,314,284,254,276,251,273,287,58,2.2
"Venezuela, RB",Expenditures(USMillion),995,"1,026",623,769,643,469,677,484,378,554,722,843,972,"1,097","1,053",885,806,904,926,900,654,546,..,..,..,..,..
Vietnam,Expenditures(USMillion),..,..,..,..,..,..,..,..,"1,400","1,700","2,300","2,850","3,750","3,930","3,050","4,450","5,710","6,850","7,250","7,410","7,350","8,500","8,890","10,080","11,830","3,232",149
"Yemen, Rep.",Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,291",910,"1,005","1,097","1,199",116,116,..,..,..,..,..
Zambia,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zimbabwe,Expenditures(USMillion),145,232,205,158,202,125,81,76,61,194,99,338,365,294,129,135,164,174,183,186,191,194,158,191,285,66,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
