Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cambodia,Expenditures(USMillion),71,117,99,129,240,345,429,509,441,673,929,"1,109","1,169","1,280","1,463","1,671","2,258","2,663","2,895","3,220","3,419","3,523","4,024","4,832","5,312","1,119",197
Cameroon,Expenditures(USMillion),75,151,119,114,92,132,182,124,266,212,229,231,254,167,271,171,423,377,607,629,476,508,544,633,681,437,508
Canada,Expenditures(USMillion),"9,176","10,073","10,390","11,049","12,024","13,035","12,680","12,744","12,236","15,135","15,891","16,837","17,962","18,190","15,580","18,440","19,994",..,..,..,..,..,..,..,..,..,..
Central African Republic,Expenditures(USMillion),4,3,2,4,8,5,5,3,4,8,7,10,11,12,8,14,15,15,28,28,16,22,25,22,22,31,..
Chad,Expenditures(USMillion),43,22,22,15,15,14,23,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,Expenditures(USMillion),"1,186","1,209","1,401","1,431","1,243","1,179","1,184","1,221","1,309","1,571","1,608","1,853","2,224","2,481","2,380","2,362","2,723","3,185","3,192","3,221","3,428","3,762","4,136","3,937","3,316",911,633
China,Expenditures(USMillion),..,..,"12,626","13,229","15,006","17,318","19,006","21,742","18,707","27,755",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,Expenditures(USMillion),887,"1,362","1,315","1,216","1,231","1,313","1,483","1,237","1,191","1,535","1,891","2,370","2,616","2,966","3,080","3,473","3,841","4,409","4,819","4,941","5,281","5,631","5,899","6,655","6,784","1,932","2,939"
Comoros,Expenditures(USMillion),22,23,26,16,19,15,9,11,16,21,24,27,30,37,32,35,42,39,..,63,52,51,61,74,73,19,72
"Congo, Rep.",Expenditures(USMillion),15,11,..,..,14,12,23,26,30,23,..,..,31,37,85,39,47,68,52,57,47,43,..,..,34,6,..
"Congo, Dem. Rep.",Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,Expenditures(USMillion),763,797,860,"1,038","1,256","1,629","1,480","1,429","1,573","1,755","2,008","2,066","2,454","2,811","2,216","2,426","2,646","2,773","3,171","3,137","3,408","3,776","3,758","4,073","4,339","1,450","1,707"
Côte d'Ivoire,Expenditures(USMillion),103,107,103,111,107,53,58,56,76,91,93,104,115,129,164,213,186,173,191,195,214,477,509,551,550,199,..
Croatia,Expenditures(USMillion),..,..,..,..,"2,595","2,871","3,463","3,952","6,513","6,945","7,625","8,296","9,617","11,615","9,300","8,299","9,598","8,912","9,715","10,079","8,207","9,215","10,524","11,344","11,971","5,551","10,891"
Cyprus,Expenditures(USMillion),"2,018","1,905","1,850","1,918","2,115","2,137","2,203","2,178","2,325","2,552","2,644","2,692","3,107","3,232","2,476","2,137","2,603","2,603","2,930","2,924","2,526","2,870","3,274","3,449","3,251",734,"2,090"
Czechia,Expenditures(USMillion),..,..,..,..,..,..,..,"3,376","4,069","4,931","5,772","6,702","7,803","9,228","8,164","8,068","8,930","8,174","7,792","7,614","6,766","7,041","7,695","8,283","7,967","3,853","3,356"
Denmark,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,Expenditures(USMillion),315,330,335,330,377,451,438,449,408,464,488,492,626,745,674,786,849,"1,039","1,251","1,487","1,557","1,729","2,018","2,279","2,288",705,"1,063"
"Egypt, Arab Rep.",Expenditures(USMillion),"2,954","3,583","4,046","2,942","4,361","4,657","4,119","4,133","4,704","6,328","7,206","8,133","10,327","12,104","11,757","13,633","9,333","10,823","6,747","7,979","6,897","3,306","8,636","12,704","14,256","4,874","9,499"
El Salvador,Expenditures(USMillion),152,155,..,..,408,437,452,521,664,748,656,686,793,711,549,646,729,900,"1,054","1,285","1,203","1,161","1,227","1,370","1,664",755,"1,225"
Equatorial Guinea,Expenditures(USMillion),1,4,5,0.4,10,5,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,Expenditures(USMillion),58,69,90,34,28,36,74,73,74,73,66,60,61,46,26,..,..,..,..,..,..,48,..,..,..,..,..
Estonia,Expenditures(USMillion),452,565,597,668,702,657,661,737,883,"1,111","1,229","1,361","1,416","1,643",..,..,..,..,"2,022","2,278","1,893","1,911","2,124","2,326","2,304",826,901
Eswatini,Expenditures(USMillion),54,42,44,51,15,24,23,45,70,75,77,75,32,26,40,51,10,29,4,16,14,13,13,16,14,7,8
Ethiopia,Expenditures(USMillion),177,170,157,152,176,205,218,261,336,458,533,639,790,"1,184","1,119","1,434","1,998","1,980","2,236","2,107","2,279","2,138","2,505","3,548","3,529","2,282","2,601"
Fiji,Expenditures(USMillion),369,374,386,309,365,291,316,384,496,588,722,684,722,952,688,825,955,989,966,"1,091","1,094","1,149","1,243","1,370","1,345",237,66
Finland,Expenditures(USMillion),"2,383","2,408","2,358","2,371","2,236","2,035","2,066","2,238","2,679","2,977","3,069","3,515","4,287","4,875","4,072","4,496","5,615","5,418","5,774","5,409","4,011","4,017","5,210","5,762","5,944","1,757","1,541"
France,Expenditures(USMillion),"31,295","32,088",..,..,"44,551","38,706","37,826","41,113","46,576","53,068","52,126","54,615","63,890","68,034","58,906","56,178","66,133","63,975","66,054","67,402","66,441","63,557","67,717","72,518","70,786","35,849","44,402"
Gabon,Expenditures(USMillion),94,91,103,110,143,99,46,77,84,74,13,..,26,27,26,89,25,40,61,44,29,..,..,..,..,..,..
"Gambia, The",Expenditures(USMillion),..,67,76,..,..,..,..,..,58,51,59,69,87,80,64,80,86,104,78,110,92,88,128,174,157,53,67
Georgia,Expenditures(USMillion),..,..,75,229,131,107,136,144,172,209,287,361,440,505,537,737,"1,069","1,565","1,916","1,972","2,049","2,315","2,971","3,518","3,551",586,"1,351"
Germany,Expenditures(USMillion),"24,053","23,982","24,500","25,806","25,327","24,943","24,182","26,717","30,129","36,417","40,518","45,560","49,320","53,402","47,499","49,116","53,465","51,626","55,486","58,721","50,669","52,234","40,011","42,895","41,779","22,068","22,113"
Ghana,Expenditures(USMillion),30,32,35,304,325,357,374,383,441,495,867,910,990,970,849,706,797,"1,154","1,010","1,027",911,952,919,996,"1,490",191,664
Greece,Expenditures(USMillion),"4,182","3,759","3,794",..,"8,839","9,264","9,219","10,012","10,852","12,815","13,455","14,502","15,683","17,608","16,038","13,857","16,269","14,665","17,433","19,489","17,547","16,811","19,139","21,594","23,003","6,193","13,666"
Grenada,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,Expenditures(USMillion),216,221,270,329,374,498,588,647,646,630,791,919,"1,055","1,098","1,086","1,053","1,077","1,110","1,161","1,164","1,170","1,203","1,218","1,235","1,227",329,393
Guinea,Expenditures(USMillion),0.9,9.3,4.8,4.3,5.8,7.8,8.2,..,..,..,..,..,1.1,2.4,4.9,2.0,2.1,1.7,..,17.1,27.0,16.6,16.6,4.7,10.4,1.3,12.8
Guinea-Bissau,Expenditures(USMillion),..,..,..,..,..,..,..,..,2,2,..,..,..,..,..,14,15,7,..,..,..,12,16,20,19,2.9,..
Guyana,Expenditures(USMillion),..,112,115,111,109,80,65,53,28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,Expenditures(USMillion),85,119,152,175,214,263,260,305,372,420,465,516,547,620,616,627,642,684,618,706,671,585,610,601,558,157,305
"Hong Kong SAR, China",Expenditures(USMillion),..,..,..,"7,337","7,343","8,198","7,923","9,849","9,004","11,874","13,588","15,541","18,237","20,236","20,291","27,208","33,169","37,098","42,426","46,352","42,491","37,838","38,170","42,313","32,697",..,..
Hungary,Expenditures(USMillion),"2,938","3,589","3,824","3,688","3,622","3,809","4,191","3,774","4,119","4,009","4,761","4,998","5,628","7,533","7,013","6,595","7,239","6,149","6,671","7,483","6,929","7,481","8,448","9,618","10,225","4,223","5,783"
Iceland,Expenditures(USMillion),309,312,314,372,380,386,383,415,486,558,635,702,848,881,..,..,..,..,..,..,..,..,..,..,..,..,..
India,Expenditures(USMillion),..,..,..,..,..,"3,598","3,342","3,300","4,560","6,307","7,659","8,915","11,234","12,462",..,..,..,"18,340","19,042","20,756","21,472","23,111","27,878","29,143","31,661","13,413","9,135"
Indonesia,Expenditures(USMillion),..,..,..,..,..,..,..,"5,797","4,461","5,226","5,094","4,890","5,831","8,150","6,053","7,618","9,038","9,463","10,302","11,567","12,054","12,566","14,691","17,915","18,405","3,603",548
"Iran, Islamic Rep.",Expenditures(USMillion),205,142,190,656,559,677,"1,122","1,607","1,266","1,305","1,025","1,464","1,950","1,978","2,259","2,631","2,489","2,483","3,306","4,197","4,771","4,634","4,531","5,252",..,..,..
Iraq,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,186,170,555,867,"1,432","1,736","1,557","1,640","1,682","1,938","2,833","3,120","2,959","1,986","3,593",955,"1,963"
Ireland,Expenditures(USMillion),"2,698","3,022","3,181",..,"3,403","3,517","3,789","4,228","5,206","6,075","6,779","7,668","9,260","9,972","8,465","8,185","9,532","9,255","10,165","11,101","11,476","12,649","14,294","15,276","14,808","4,665","5,206"
Israel,Expenditures(USMillion),"3,491","3,506","3,740","3,598","4,800","4,611","2,854","2,426","2,473","2,908","3,750","3,736","4,325","5,401","4,937","5,638","5,886","6,183","6,600","6,616","6,605","6,616","7,602","8,048","8,459","2,661","2,427"
Italy,Expenditures(USMillion),"30,411","31,884","31,415","31,339","29,570","28,712","26,924","28,213","32,623","37,893","38,364","41,666","46,134",..,..,..,..,..,..,..,"41,415","42,423","46,719","51,602","51,910","20,317","25,355"
Jamaica,Expenditures(USMillion),"1,199","1,218","1,290","1,380","1,486","1,577","1,494","1,482","1,621","1,733","1,783","2,094","2,142","2,222","2,070","2,095","2,060",..,..,..,..,..,..,..,..,..,..
Japan,Expenditures(USMillion),"4,894","5,775","6,175","5,664","5,715","5,970","5,750","6,069","11,475","14,343","15,554","11,490","12,422","13,781","12,537","15,356","12,533","16,197","16,865","20,790","27,285","33,456","36,978","45,276","49,209","11,396","5,225"
Jordan,Expenditures(USMillion),973,"1,026","1,063","1,083","1,016",935,884,"1,254","1,266","1,621","1,759","2,426","2,754","3,539","3,472","4,390","4,351","5,123","5,145","5,518","4,968","4,943","5,549","6,221","6,765","1,745","3,426"
Kazakhstan,Expenditures(USMillion),155,258,350,454,394,403,502,680,638,803,801,973,"1,214","1,255","1,185","1,236","1,524","2,154","2,365","2,239","1,833","2,038","2,356","2,651","2,915",585,688
Kenya,Expenditures(USMillion),785,823,"1,077","1,213","1,211",500,536,513,619,799,969,"1,181","1,514","1,398","1,124","1,620","1,844","2,004","1,829","1,745","1,596","1,472","1,564","1,784","1,762",739,"1,222"
Kiribati,Expenditures(USMillion),2.0,2.1,2.6,3.1,2.8,2.7,3.2,..,..,..,3.1,..,..,..,..,..,..,..,..,..,..,..,5.2,..,..,..,..
"Korea, Rep.",Expenditures(USMillion),"6,670","6,350","6,317","8,263","8,337","8,527","7,917","7,617","7,002","8,222","8,282","8,437","9,253","13,440","13,262","14,315","17,329","18,731","19,457","22,390","18,711","20,924","17,173","23,104","25,456","11,524","11,084"
Kuwait,Expenditures(USMillion),307,389,396,456,342,394,286,320,328,398,413,508,530,610,660,574,644,780,619,615,931,831,643,919,"1,198",526,708
Kyrgyz Republic,Expenditures(USMillion),..,..,..,12,18,20,32,48,62,92,94,189,392,569,300,212,405,486,585,468,482,477,480,518,708,195,259
Lao PDR,Expenditures(USMillion),52,63,61,97,86,..,108,110,77,122,143,160,190,280,271,385,413,461,613,642,725,717,655,833,974,227,6
Latvia,Expenditures(USMillion),37,231,235,222,153,172,153,201,271,343,446,622,880,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,Expenditures(USMillion),710,715,"1,000","1,221",673,742,837,..,"6,782","5,931","5,969","5,457","5,796","6,317","7,157","8,026","6,797","7,361","7,032","6,835","7,087","7,373","8,086","8,694","8,717","2,369","3,162"
Lesotho,Expenditures(USMillion),29,34,34,25,23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Libya,Expenditures(USMillion),4,4,3,23,39,84,90,202,243,261,301,244,99,99,159,170,..,..,..,..,..,..,..,..,150,93,..
Lithuania,Expenditures(USMillion),102,345,399,504,591,430,425,556,700,834,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,Expenditures(USMillion),..,..,..,..,..,..,..,"3,227","4,018","4,762","4,867","4,958","5,626","6,408","6,077","6,057","7,395","7,317","7,746","7,963","6,183","6,196","6,171","6,652","6,309","5,103","5,584"
Madagascar,Expenditures(USMillion),106,102,110,136,137,152,149,109,119,239,275,382,395,440,328,425,507,596,609,740,696,912,849,879,951,202,111
Malawi,Expenditures(USMillion),22,31,32,25,42,29,40,45,66,75,48,45,43,43,46,45,36,35,33,36,39,30,47,55,41,28,29
Malaysia,Expenditures(USMillion),"5,044","5,732","4,925","3,237","4,403","5,873","7,627","8,084","6,799","9,183","10,389","12,280","17,948","18,553","17,231","19,619","21,338","21,711","23,283","24,469","19,194","19,682","20,311","21,775","22,200","3,373",116
Maldives,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,966","2,032","2,422","2,811","2,691","2,640","2,771","3,054","3,171","1,408","3,490"
