Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,Total(thousands),304,287,119,184,371,317,354,470,557,645,748,937,"1,127","1,420","1,856","2,417","2,932","3,514","3,256","3,673","4,131","4,736","5,118","5,927","6,406","2,658","5,689"
Albania,Overnight(thousands),,,,,,,,,,,,,"1,062","1,247","1,711","2,191","2,469","3,156","2,857","3,341","3,784","4,070","4,643","5,340","6,128","2,604","5,515"
Albania,OneDay(thousands),,,,,,,,,,,,,65,83,64,52,67,71,220,127,162,507,293,587,278,54,174
Algeria,Total(thousands),520,605,635,678,749,866,901,988,"1,166","1,234","1,443","1,638","1,743","1,772","1,912","2,070","2,395","2,634","2,733","2,301","1,710","2,039","2,451","2,657","2,371",591,125
Angola,Overnight(thousands),9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261,218,218,64,64
Antigua and Barbuda,Total(thousands),447,498,526,570,560,634,624,528,623,769,712,838,935,863,944,788,848,819,777,771,894,874,"1,040","1,064","1,035",276,250
Antigua and Barbuda,Overnight(thousands),220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,301,125,169
Antigua and Barbuda,OneDay(thousands),227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,607,572,534,522,644,609,793,795,734,151,81
Antigua and Barbuda,Cruise(thousands),227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,607,572,534,522,644,609,793,795,734,151,81
Argentina,Total(thousands),,,,,,,,,,,,,,,,,,,,,,"9,986","9,964","10,394","11,131","3,096",460
Argentina,Overnight(thousands),"2,289","2,614","2,764","3,012","2,898","2,909","2,620","2,820","2,995","3,457","3,823","4,173","4,562","4,700","4,308","6,800","6,703","6,497","6,510","7,165","6,816","6,668","6,711","6,942","7,399","2,090",297
Argentina,OneDay(thousands),,,,,,,,,,,,,,,,,,,,,,"3,318","3,253","3,452","3,732","1,007",163
Armenia,Overnight(thousands),12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,"1,084","1,204","1,192","1,260","1,495","1,652","1,894",375,870
Australia,Total(thousands),"3,726","4,165","4,318","4,167","4,459","4,931","4,856","4,841","4,746","5,215","5,499","5,532","5,644","5,586","5,490","5,790","5,771","6,032","6,482","6,922","7,449","8,269","8,815","9,246","9,466","1,828",246
Australia,Overnight(thousands),,,,"3,825","4,109","4,530","4,435","4,420","4,354","4,774","5,020","5,064",,,,,,,,,,,,,,,
Australia,OneDay(thousands),,,,342,34,37,41,43,30,23,26,35,,,,,,,,,,,,,,,
Austria,Overnight(thousands),"17,173","17,090","16,647","17,352","17,467","17,982","18,180","18,611","19,078","19,374","19,952","20,269","20,773","21,935","21,355","22,004","23,012","24,151","24,813","25,291","26,728","28,121","29,460","30,816","31,884","15,091","12,728"
Azerbaijan,Total(thousands),93,210,306,483,602,681,767,834,"1,038","1,279","1,177","1,194","1,333","1,899","1,830","1,963","2,239","2,484","2,509","2,298","2,006","2,249","2,697","2,850","3,170",796,792
Azerbaijan,Overnight(thousands),,,,,,,,576,768,989,693,682,732,"1,043","1,005","1,280","1,562","1,986","2,130","2,160","1,922","2,044","2,454","2,633","2,876",587,
Azerbaijan,OneDay(thousands),,,,,,,,258,270,290,484,512,601,856,825,683,677,498,379,138,84,204,243,216,294,209,
"Bahamas, The",Total(thousands),"3,239","3,416","3,446","3,348","3,648","4,204","4,183","4,406","4,594","5,004","4,779","4,731","4,601","4,394","4,645","5,255","5,588","5,940","6,151","6,320","6,112","6,265","6,136","6,622","7,250","1,795","2,101"
"Bahamas, The",Overnight(thousands),"1,598","1,633","1,618","1,528","1,577","1,544","1,538","1,513","1,505","1,561","1,625","1,613","1,538","1,469","1,336","1,378","1,355","1,431","1,377","1,444","1,496","1,499","1,452","1,633","1,807",441,891
"Bahamas, The",OneDay(thousands),"1,640","1,785","1,828","1,820","2,071","2,660","2,645","2,893","3,089","3,443","3,154","3,118","3,063","2,925","3,309","3,877","4,233","4,509","4,774","4,876","4,616","4,766","4,684","4,990","5,444","1,354","1,210"
"Bahamas, The",Cruise(thousands),"1,543","1,686","1,751","1,730","1,981","2,513","2,552","2,802","2,970","3,360","3,079","3,079","2,971","2,861","3,256","3,810","4,161","4,434","4,709","4,805","4,513","4,690","4,626","4,878","5,433","1,327","1,115"
