Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,Total(thousands),"2,311","1,988","2,600","2,898","3,280","3,869","4,388","4,831","4,844","5,667","6,313","7,289","7,833","8,631","8,861","11,952","6,732","8,062","9,163","10,452","9,670","10,158","11,374","12,045","11,061","1,909","3,612"
Bahrain,Overnight(thousands),"1,396","1,201","1,611","1,640","2,019","2,420","2,789","3,167","2,955","3,514","3,914","4,519","4,935",,,,,,,,"3,964","3,990","4,373","4,366","3,849",827,"2,182"
Bahrain,OneDay(thousands),915,787,989,"1,258","1,261","1,449","1,599","1,664","1,889","2,153","2,399","2,770","2,898",,,,,,,,"5,706","6,168","7,001","7,678","7,212","1,082","1,430"
Bahrain,Cruise(thousands),,,,,,,,,,,,,,,,,,,,,40,56,69,81,134,51,7
Bangladesh,Overnight(thousands),156,166,182,172,173,199,207,207,245,271,208,200,289,467,267,139,157,160,104,134,126,182,237,267,323,182,135
Barbados,Total(thousands),927,957,990,"1,019",947,"1,078","1,035","1,021","1,090","1,273","1,111","1,102","1,191","1,165","1,154","1,197","1,187","1,053","1,079","1,079","1,179","1,227","1,345","1,356",966,546,240
Barbados,Overnight(thousands),442,447,472,512,515,545,507,498,531,552,548,563,575,568,519,532,568,536,509,521,592,632,664,680,523,207,144
Barbados,OneDay(thousands),485,510,518,507,433,533,528,523,559,721,563,539,616,597,635,665,619,517,570,558,587,595,681,676,443,338,96
Barbados,Cruise(thousands),485,510,518,507,433,533,528,523,559,721,563,539,616,597,635,665,619,517,570,558,587,595,681,676,443,338,96
Belarus,Total(thousands),,,,,,"2,030","1,852","1,907","1,729","1,816","4,738","5,276","5,283","5,262","4,872","5,674","5,877","6,130","6,242","5,375","4,386","10,935","11,060","11,502","11,832","3,598","3,361"
Belarus,Overnight(thousands),,,,363,315,262,221,209,229,239,253,292,368,477,512,677,783,993,"1,003","1,080",966,"1,929","2,000","2,142","2,201",577,787
Belarus,OneDay(thousands),,,,,,,,,,,,,,,,,,,,,175,96,136,198,228,47,27
Belgium,Overnight(thousands),"5,560","5,829","6,037","6,179","6,369","6,457","6,452","6,720","6,690","6,710","6,747","6,995","7,045","7,165","6,815","7,186","7,494","7,560","7,684","7,887","8,355","7,481","8,385","9,119","9,343","2,584","3,243"
Belize,Total(thousands),342,349,305,300,340,374,385,694,999,"1,329","1,037",903,880,846,941,"1,054","1,106","1,028","1,022","1,289","1,299","1,391","1,441","1,697","1,674",487,437
Belize,Overnight(thousands),131,133,146,176,181,196,196,200,221,231,237,247,251,245,232,242,250,277,294,321,341,386,427,489,503,144,219
Belize,OneDay(thousands),211,216,159,124,159,178,189,494,778,"1,098",800,656,629,601,709,812,856,751,728,968,958,"1,005","1,014","1,208","1,171",343,218
Belize,Cruise(thousands),8,1,3,14,34,58,48,320,575,851,800,656,624,597,705,779,735,641,677,968,958,"1,005","1,014","1,208","1,171",343,210
Benin,Total(thousands),580,516,541,575,941,"1,068","1,155",853,850,845,960,975,"1,010","1,027",,,222,232,252,265,279,292,307,322,337,354,
Benin,Overnight(thousands),138,143,148,152,80,96,88,72,175,174,176,180,186,188,190,199,209,220,231,242,255,267,281,295,309,325,
Benin,OneDay(thousands),,,,,,,,,,,,,,,,,11,12,21,23,24,25,26,27,28,29,
Benin,Cruise(thousands),,,,,,,,,,,,,,,,,1,2,6,7,8,9,11,12,13,14,
Bhutan,Overnight(thousands),5,5,5,6,7,8,6,6,6,9,14,17,21,28,23,41,66,105,116,133,155,210,255,274,316,30,0.001
Bolivia,Overnight(thousands),284,313,355,387,342,319,316,334,427,480,524,521,573,594,599,679,711,798,798,871,882,961,"1,109","1,142","1,239",323,180
Bosnia and Herzegovina,Overnight(thousands),,,115,148,147,171,139,160,165,190,217,256,306,322,311,365,392,439,529,536,678,778,923,"1,053","1,198",197,502
Botswana,Total(thousands),636,656,765,940,"1,039","1,306","1,451","1,485","1,592","1,727","1,684","1,642","1,965","2,344",,,,,,,"1,660","1,712","1,775","1,830",,358,
Botswana,Overnight(thousands),521,512,607,750,843,"1,104","1,193","1,274","1,406","1,523","1,474","1,426","1,736","2,101","1,721","1,973",,"1,614","1,544","1,966","1,528","1,574","1,623","1,655",,329,
Botswana,OneDay(thousands),115,144,158,190,196,202,257,211,187,204,210,216,229,243,,,,,,,132,138,152,176,,30,
Brazil,Overnight(thousands),"1,991","2,666","2,850","4,818","5,107","5,313","4,773","3,785","4,133","4,794","5,358","5,017","5,026","5,050","4,802","5,161","5,433","5,677","5,813","6,430","6,306","6,547","6,589","6,621","6,353","2,146",746
Brunei Darussalam,Total(thousands),498,837,643,964,967,984,840,891,944,,815,836,877,,,,,,,,,"4,257","4,316","4,521","4,449","1,071",110
Brunei Darussalam,Overnight(thousands),,,,,,,,,,119,126,158,179,226,157,214,242,209,225,201,218,219,259,278,333,62,4
Brunei Darussalam,OneDay(thousands),,,,,,,,,,,,,,,,,,,,,,25,11,19,15,2,
Brunei Darussalam,Cruise(thousands),,,,,,,,,,,4,1,,,,,,,,,,25,11,19,15,2,
Bulgaria,Total(thousands),"8,005","6,811","7,543","5,240","5,056","4,922","5,104","5,563","6,241","6,982","7,282","7,499","7,726","8,533","7,873","8,374","8,713","8,867","9,192","9,409","9,317","10,604","11,596","12,368","12,552","4,973","7,188"
Bulgaria,Overnight(thousands),"3,466","2,795","2,980","2,667","2,472","2,785","3,186","3,433","4,048","4,630","4,837","5,158","5,151","5,780","5,739","6,047","6,328","6,541","6,898","7,311","7,099","8,252","8,883","9,273","7,775","1,290","2,300"
Bulgaria,OneDay(thousands),"4,539","4,016","4,563","2,573","2,584","2,137","1,918","2,130","2,193","2,352","2,445","2,341","2,574","2,753","2,134","2,327","2,385","2,326","2,294","2,098","2,218","2,352","2,713","3,095","4,777","3,683","4,888"
Burkina Faso,Overnight(thousands),124,131,138,160,117,126,128,150,163,222,245,264,289,272,269,274,238,237,218,191,163,152,143,144,143,67,106
Burundi,Overnight(thousands),34,27,11,15,26,29,36,74,74,133,148,214,192,202,212,142,144,147,234,235,131,187,299,,,,
Cabo Verde,Overnight(thousands),28,37,45,52,67,115,134,126,150,157,198,242,267,285,287,336,428,482,503,494,520,598,668,710,758,180,135
Cambodia,Overnight(thousands),220,260,219,287,368,466,605,787,701,"1,055","1,422","1,700","2,015","2,125","2,162","2,508","2,882","3,584","4,210","4,503","4,775","5,012","5,602","6,201","6,611","1,306",196
Cameroon,Total(thousands),,,,,,,,,,,,451,477,487,498,573,604,817,783,822,897,994,"1,081",997,"1,021",,
Cameroon,Overnight(thousands),100,145,232,247,262,277,221,226,,190,176,,,480,495,569,600,812,,,,,,,,,
Cameroon,OneDay(thousands),,,,,,,,,,,,,,7,3,4,4,5,,,,,,,,,
Cameroon,Cruise(thousands),,,,,,,,,,,,,,1,2,1,1,1,,,,,,,,,
Canada,Total(thousands),"41,657","43,256","45,076","48,064","49,055","48,638","47,147","44,896","38,903","38,845","36,160","33,390","30,373","27,370","24,696","25,621","25,066","25,318","25,167","25,558","27,555","30,142","31,081","31,274","32,430","5,068","4,282"
Canada,Overnight(thousands),"16,932","17,286","17,669","18,870","19,411","19,627","19,679","20,057","17,534","19,145","18,771","18,265","17,935","17,142","15,737","16,219","16,016","16,344","16,059","16,537","17,977","19,971","20,883","21,134","22,145","2,960","3,062"
Canada,OneDay(thousands),"24,725","25,971","27,407","29,194","29,644","29,011","27,468","24,839","21,369","19,700","17,389","15,125","12,438","10,228","8,959","9,402","9,050","8,974","9,108","9,021","9,578","10,171","10,198","10,140","10,284","2,108","1,220"
Canada,Cruise(thousands),317,369,424,454,544,636,,,,,,,,,,,,,,,,,801,910,"1,066",1,1
Central African Republic,Overnight(thousands),26,21,17,8,10,11,10,3,6,8,12,14,17,31,52,54,65,71,84,96,121,82,107,109,87,35,
Chad,Total(thousands),58,67,77,89,93,94,175,149,101,106,59,,,,,,,,,,,,,,,,
Chad,Overnight(thousands),19,20,27,41,46,43,57,32,21,26,29,46,77,61,70,71,77,86,97,119,120,98,87,77,79,11,40
Chile,Total(thousands),,,,,,,,,,,,,,"3,713","3,657","3,584","3,963","4,397","4,457","4,601","5,487","6,712","7,621","6,603","5,431","1,311",192
Chile,Overnight(thousands),"1,540","1,450","1,644","1,759","1,632","1,742","1,723","1,412","1,614","1,785","2,027","2,253","2,507","2,710","2,760","2,801","3,137","3,554","3,576","3,674","4,478","5,641","6,450","5,723","4,518","1,119",190
Chile,OneDay(thousands),,,,,,,781,802,876,"1,019",959,957,741,"1,003",897,784,826,843,881,926,"1,009","1,072","1,171",880,913,191,2
China,Total(thousands),"46,387","51,128","57,588","63,478","72,796","83,444","89,013","97,908","91,662","109,038","120,292","124,942","131,873","130,027","126,476","133,762","135,423","132,405","129,078","128,499","133,820","141,774","153,260","158,606","162,538","30,402",
China,Overnight(thousands),"20,034","22,765","23,770","25,073","27,047","31,229","33,167","36,803","32,970","41,761","46,809","49,913","54,720","53,049","50,875","55,664","57,581","57,725","55,686","55,622","56,886","59,270","60,740","62,900","65,725","7,967",
Colombia,Total(thousands),"1,433",751,758,823,725,707,788,661,668,840,981,"2,096","2,381","2,545","2,649","1,701","2,356","2,434","2,595","2,866","3,371","3,675","4,056","4,397","4,531","1,396","2,174"
Colombia,Overnight(thousands),"1,399",631,639,674,546,557,616,567,625,791,933,"2,045","2,254","2,317","2,364","1,405","2,043","2,180","2,288","2,552","3,099","3,370","3,712","4,020","4,169","1,262","2,155"
Colombia,OneDay(thousands),34,120,119,149,179,150,172,94,43,49,48,51,127,228,285,296,313,254,307,314,272,306,345,378,362,134,19
Colombia,Cruise(thousands),34,120,119,149,179,150,172,94,43,49,48,51,127,228,285,296,313,254,307,314,272,306,345,378,362,134,19
Comoros,Overnight(thousands),23,24,26,27,24,24,19,19,21,23,26,29,15,15,11,15,19,23,22,23,24,27,28,36,45,7,29
"Congo, Rep.",Total(thousands),,,,,,,,,,,,,,,,199,224,259,345,229,224,213,151,158,,,
"Congo, Rep.",Overnight(thousands),37,39,27,20,14,19,27,22,23,31,35,46,55,62,94,194,218,256,343,226,220,211,149,156,,,
"Congo, Rep.",OneDay(thousands),,,,,,,,,,,,,,,,5,6,3,2,3,4,2,2,2,,,
"Congo, Dem. Rep.",Total(thousands),85,,,,,,,,,,,,,,,,197,,,,,,,,,,
"Congo, Dem. Rep.",Overnight(thousands),35,37,30,53,80,103,55,28,35,36,61,55,47,50,53,81,186,167,191,334,354,351,,,,,
"Congo, Dem. Rep.",OneDay(thousands),50,,,,20,20,20,20,20,,,,,,,,11,,,,,,,,,,
Costa Rica,Total(thousands),924,940,"1,013","1,167","1,267","1,278","1,320","1,335","1,514","1,771","1,959","2,071","2,302","2,409","2,309","2,495","2,526","2,542","2,641","2,760","2,899","3,204","3,231","3,313","3,366","1,147","1,375"
Costa Rica,Overnight(thousands),785,781,811,943,"1,032","1,088","1,131","1,113","1,239","1,453","1,679","1,725","1,980","2,089","1,923","2,100","2,192","2,343","2,428","2,527","2,660","2,925","2,960","3,017","3,139","1,012","1,347"
Costa Rica,OneDay(thousands),139,159,201,224,235,190,189,222,275,318,280,346,322,320,386,395,334,199,213,233,239,279,271,296,227,135,28
Costa Rica,Cruise(thousands),139,159,201,224,235,190,189,222,275,318,280,346,322,320,386,395,334,199,213,233,239,279,271,296,227,135,28
Côte d'Ivoire,Total(thousands),188,237,274,301,,,,,,,,,182,205,231,252,270,289,380,471,"1,441","1,583","1,800","1,965","2,070",668,576
Croatia,Total(thousands),"16,100","19,085","23,660","25,499","29,215","37,226","40,129","41,737","42,857","44,974","45,762","47,733","52,271","51,336","47,573","49,006","49,969","47,185","48,345","51,168","55,858","57,587","59,238","57,668","60,021","21,608","34,123"
Croatia,Overnight(thousands),"1,485","2,914","4,178","4,499","3,805","5,831","6,544","6,944","7,409","7,912","7,743","7,988","8,559","8,665","8,694","9,111","9,927","10,369","10,948","11,623","12,683","13,809","15,593","16,645","17,353","5,545","10,641"
Cyprus,Total(thousands),"2,253","2,089","2,194","2,357","2,578","2,912","2,841","2,495","2,416","2,478","2,657","2,629","2,671","2,631","2,370","2,450","2,626","2,635","2,626","2,558","2,780","3,286","3,750","4,024","4,117",,
Cyprus,Overnight(thousands),"2,100","1,950","2,088","2,223","2,434","2,686","2,697","2,418","2,303","2,349","2,470","2,401","2,416","2,404","2,141","2,173","2,392","2,465","2,405","2,441","2,659","3,187","3,652","3,939","3,977",632,"1,937"
Cyprus,OneDay(thousands),153,139,106,134,143,226,144,77,113,129,187,228,255,227,229,277,234,170,221,147,121,100,98,85,140,,
Cyprus,Cruise(thousands),39,41,55,75,77,135,106,59,93,119,176,220,246,221,225,271,216,163,207,135,108,85,77,62,112,8,21
Czechia,Total(thousands),,,,,,,,,"20,108","23,808","24,747","25,102","22,625","21,850","23,285","21,941","22,810","25,750","26,332","27,166","29,604","32,519","34,701","36,268","37,202","10,267",
Czechia,Overnight(thousands),"3,381","4,558","4,976","5,482","5,610","4,773","5,405","4,743","7,641","9,047","9,404","9,539","9,370","9,373","8,848","8,629","9,019","10,123","10,300","10,649","11,619","12,808","13,665","14,283","14,651","3,919",
Czechia,OneDay(thousands),,,,,,,,,"12,467","14,761","15,343","15,564","13,255","12,477","14,437","13,312","13,792","15,627","16,032","16,518","17,985","19,711","21,036","21,986","22,551","6,347",
Denmark,Total(thousands),,,,,,,,,"21,119","22,054","26,927","26,936","27,138","26,870","26,571","26,730","25,811","26,402","26,516","28,070","28,209","28,692","30,736","30,801","32,101","16,066","18,405"
Denmark,Overnight(thousands),,"2,125","2,158","2,073","2,023","3,535","3,684","3,436","3,474","4,421","9,178","9,256","9,284","9,016","8,547","8,744","7,864","8,443","8,557","10,267","10,424","10,781","12,426","12,749","14,761","6,264","7,588"
Denmark,OneDay(thousands),,,,,,,,,"17,645","17,633","17,749","17,680","17,854","17,854","18,024","17,986","17,947","17,959","17,959","17,803","17,785","17,911","18,310","18,052","18,340","9,802","10,817"
Denmark,Cruise(thousands),,,,,,363,404,193,305,293,409,374,548,548,718,681,607,619,619,470,445,571,647,711,990,1,39
Djibouti,Overnight(thousands),21,20,20,21,21,20,22,23,23,26,30,40,40,54,58,51,56,60,63,,,,133,142,167,75,114
Dominica,Total(thousands),203,261,299,312,280,312,276,208,254,466,381,465,437,468,608,595,418,348,311,370,358,356,230,199,322,140,66
Dominica,Overnight(thousands),60,63,65,66,74,70,66,69,73,80,79,84,81,81,75,77,76,79,78,82,75,78,72,63,90,22,15
Dominica,OneDay(thousands),143,198,234,246,206,242,210,139,181,387,303,381,356,387,533,519,342,269,233,289,283,278,158,136,232,118,51
Dominica,Cruise(thousands),135,193,231,245,202,240,208,137,177,384,302,380,355,386,532,518,341,267,231,287,281,277,157,134,230,118,51
Dominican Republic,Total(thousands),"1,806","2,037","2,482","2,702","2,932","3,161","3,090","3,058","3,680","3,907","3,981","4,268","4,365","4,455","4,489","4,478","4,654","4,901","5,114","5,576","6,129","6,769","7,296","7,551","7,550","2,748","5,327"
Dominican Republic,Overnight(thousands),"1,776","1,926","2,211","2,309","2,649","2,978","2,882","2,811","3,282","3,450","3,691","3,965","3,980","3,980","3,992","4,125","4,306","4,563","4,690","5,141","5,600","5,959","6,188","6,569","6,446","2,405","4,994"
Dominican Republic,OneDay(thousands),30,111,271,393,283,183,208,247,398,457,290,303,385,475,497,353,348,338,424,435,529,809,"1,108",982,"1,104",343,333
Dominican Republic,Cruise(thousands),30,111,271,393,283,183,208,247,398,457,290,303,385,475,497,353,348,338,424,435,529,809,"1,108",982,"1,104",343,333
Ecuador,Total(thousands),440,494,529,511,518,627,641,683,761,819,860,841,937,"1,005",968,"1,047","1,141","1,272","1,364","1,695","1,676","1,569","1,806","2,535","2,108",507,669
"Egypt, Arab Rep.",Total(thousands),"3,133","3,896","3,961","3,454","4,797","5,506","4,648","5,192","6,044","8,104","8,608","9,083","11,091","12,835","12,536","14,731","9,845","11,532","9,464","9,878","9,328","5,399","8,292","11,346","13,026","3,677",
"Egypt, Arab Rep.",Overnight(thousands),"2,871","3,528","3,656","3,213","4,490","5,116","4,357","4,906","5,746","7,795","8,244","8,646","10,610","12,296","11,914","14,051","9,497","11,196","9,174","9,628","9,139","5,258","8,157","11,196","12,876",,
"Egypt, Arab Rep.",OneDay(thousands),262,368,305,241,307,390,291,286,298,309,363,437,481,540,622,680,348,336,290,249,189,141,136,150,151,,
El Salvador,Total(thousands),,,,,,867,804,885,798,"1,030","1,306","1,501","1,720","1,875","1,482","1,606","1,634","1,738","1,822","1,886","1,973","2,052","2,247","2,536","2,639",707,"1,436"
El Salvador,Overnight(thousands),235,283,387,542,658,795,735,798,720,951,"1,127","1,279","1,339","1,385","1,091","1,150","1,184","1,255","1,283","1,345","1,402","1,434","1,556","1,677","1,766",549,"1,219"
El Salvador,OneDay(thousands),,,,,,72,69,87,78,79,179,222,381,490,391,456,450,483,539,541,571,618,691,858,873,217,217
Eritrea,Total(thousands),315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,,,,,
Estonia,Total(thousands),"2,111","2,444","2,618","2,909","3,181","3,310","3,230","3,253","3,378",,,,,"3,828","3,834","4,369","4,907","5,007","5,737","5,804","5,696","5,942","6,145","6,033","6,103","1,695","1,310"
Estonia,Overnight(thousands),530,665,730,825,950,"1,220","1,320","1,362","1,462","1,750","1,917","1,940","1,900","2,222","2,180","2,511","2,823","2,957","3,111","3,160","2,961","3,131","3,244","3,226","3,336","1,023",808
Estonia,OneDay(thousands),"1,580","1,779","1,889","2,084","2,231","2,090","1,910","1,891","1,916",285,307,313,295,"1,606","1,654","1,858","2,084","2,050","2,626","2,644","2,735","2,811","2,901","2,807","2,766",673,502
Estonia,Cruise(thousands),37,44,50,92,106,109,132,118,175,285,307,313,295,378,416,392,436,425,509,470,506,510,564,638,660,,
Eswatini,Total(thousands),,"1,337","1,635",986,"1,253","1,151","1,312","1,371","1,543",,"1,182","1,200","1,230","1,186","1,344","1,343","1,328","1,278","1,299","1,325","1,256","1,279","1,343","1,277","1,226",345,211
Eswatini,Overnight(thousands),300,315,269,284,289,281,283,256,461,459,837,873,869,756,908,868,879,888,968,939,873,947,921,782,680,194,170
Eswatini,OneDay(thousands),,,,,,,,,,,345,327,361,430,436,475,449,390,331,386,383,332,422,496,546,152,40
Ethiopia,Overnight(thousands),103,109,139,112,115,136,148,156,180,184,227,330,358,383,427,468,523,597,681,770,864,871,933,849,812,271,518
Fiji,Total(thousands),476,534,547,499,544,434,446,461,451,513,547,,542,627,605,692,734,741,769,781,869,963,"1,027","1,058",969,168,
Fiji,Overnight(thousands),318,340,359,371,410,294,348,398,431,504,545,549,540,585,542,632,675,661,659,693,755,792,843,870,894,147,32
Fiji,OneDay(thousands),158,194,188,128,134,140,98,63,20,9,2,,2,42,63,60,59,80,110,88,114,171,184,188,75,21,
Fiji,Cruise(thousands),18,17,12,18,14,10,7,6,20,9,2,,2,42,63,60,59,80,110,88,114,171,184,188,75,21,
Finland,Total(thousands),,,,"3,432","3,363","3,789","4,252","4,687","4,527","4,854","5,038","5,345","5,736","6,072","5,695","6,182","7,260","7,636",,,,,,,,,
Finland,Overnight(thousands),"1,779","1,724","1,832","2,644","2,454","2,714","2,826","2,875","2,601","2,840","3,140","3,375","3,519","3,583","3,423","3,670","4,192","4,226","2,797","2,731","2,622","2,789","3,180","3,224","3,290",896,807
Finland,OneDay(thousands),,,,788,909,"1,075","1,426","1,812","1,926","2,014","1,898","1,970","2,217","2,489","2,272","2,512","3,068","3,410",,,,,,,,,
France,Total(thousands),,"148,263","157,551",,,,,,,"190,282","185,829","193,882","193,319","193,571","192,369","189,826","196,595","197,522","204,410","206,599","203,302","203,042","207,274","211,998","217,877","117,109","141,297"
France,Overnight(thousands),"60,033","62,406","66,591","70,109","73,147","77,190","75,202","77,012","75,048","74,433","74,988","77,916","80,853","79,218","76,764","76,647","80,499","81,980","83,634","83,701","84,452","82,682","86,758","89,322","90,914","41,684","48,395"
France,OneDay(thousands),,"85,857","90,960",,,,,,,"115,849","110,841","115,966","112,466","114,353","115,605","113,179","116,096","115,543","120,776","122,898","118,851","120,360","120,516","122,676","126,963","75,424","92,902"
Gabon,Total(thousands),203,217,247,274,262,230,236,269,234,351,526,,,,,,,,,,,,,,,,
Gabon,Overnight(thousands),125,145,167,195,178,155,169,208,222,244,269,,,,,,,,,,,,,,,,
Gabon,OneDay(thousands),75,70,75,72,76,70,65,60,12,107,257,,,,,,,,,,,,,,,,
Gabon,Cruise(thousands),3,2,5,7,8,5,2,1,,,,,,,,,,,,,,,,,,,
"Gambia, The",Total(thousands),,,,,,,,,,459,460,613,487,643,,,,,,,,,,,,,
"Gambia, The",Overnight(thousands),45,77,85,91,96,79,57,81,89,90,108,125,143,147,142,91,106,157,171,156,449,450,522,552,620,246,332
Georgia,Total(thousands),85,117,313,317,384,387,302,298,313,368,560,983,"1,052","1,290","1,500","2,032","2,712","4,106","4,954","5,004","5,256","5,393","6,483","7,203","7,726","1,513","1,721"
Georgia,Overnight(thousands),,,,,,,,,,,,,,,,"1,067","1,833","2,460","2,884","2,939","3,012","3,297","4,069","4,757","5,080","1,087","1,577"
Georgia,OneDay(thousands),,,,,,,,,,,,,,,,965,879,"1,646","2,070","2,065","2,244","2,096","2,414","2,446","2,645",426,144
Germany,Overnight(thousands),"14,847","15,205","15,837","16,511","17,116","18,983","17,861","17,969","18,399","20,137","21,500","23,569","24,421","24,884","24,220","26,875","28,374","30,411","31,545","32,999","34,970","35,555","37,452","38,881","39,563","12,449","11,688"
Ghana,Overnight(thousands),286,305,325,348,373,399,439,483,531,584,429,497,587,698,803,931,821,903,994,825,897,933,969,956,"1,130",355,624
Greece,Total(thousands),"10,712","9,782","10,588","11,364","12,606","13,567","14,678","14,918","14,785","14,268","15,938","17,284",,,,,,,"20,112","24,272","26,114","28,071","30,161","33,072","34,005","7,406","15,246"
Greece,Overnight(thousands),"10,130","9,233","10,070","10,916","12,164","13,096","14,057","14,180","13,969","13,313","14,765","16,039","16,165","15,939","14,915","15,007","16,427","15,518","17,920","22,033","23,599","24,799","27,194","30,123","31,348","7,374","14,705"
Greece,OneDay(thousands),582,549,518,448,442,472,621,738,815,955,"1,173","1,245",,,,,,,"2,192","2,239","2,515","3,271","2,967","2,949","2,656",31,541
Greece,Cruise(thousands),582,549,518,448,442,472,621,738,815,955,"1,173","1,245",,,,,,,"2,192","2,239","2,515","3,271","2,967","2,949","2,656",31,541
Grenada,Total(thousands),369,386,368,392,379,316,277,271,294,370,380,342,406,428,460,445,447,370,327,387,437,474,468,529,526,217,72
Grenada,Overnight(thousands),108,108,111,116,125,129,123,132,142,134,99,119,130,130,114,110,118,125,128,150,155,156,168,186,188,54,47
Grenada,OneDay(thousands),261,278,257,276,254,187,154,139,152,236,281,224,275,298,346,335,328,245,199,237,282,318,300,343,338,163,25
Grenada,Cruise(thousands),250,267,247,266,246,180,147,135,147,230,275,219,270,293,343,333,310,243,197,235,281,315,299,343,338,163,25
Guatemala,Total(thousands),563,520,576,636,823,826,835,884,880,"1,182","1,316","1,502","1,628","1,715","1,311","1,384","1,434","1,491","1,516","1,739","1,865","1,906","2,120","2,406","2,560",594,666
